api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
37-115-20372,I_2233154_V_685955,2014,2011,3,Horizontal,Cabot Oil & Gas Corp,41.715642,-75.972256,Flowline,Leak,Froze,Environmental Conditions,Saltwater,Produced Water,5,Unknown,Unknown,PA
37-115-20378,I_2140654_V_661065,2013,2010,2,Horizontal,Cabot Oil & Gas Corp,41.716483,-75.961744,Flowline,Leak,Froze,Environmental Conditions,Saltwater,Produced Water,20,Unknown,Unknown,PA
37-115-20386,I_1929899_V_600109,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.688844,-75.970689,Pit,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20386,I_1929899_V_600108,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.688844,-75.970689,Storage Container,Leak,Unknown,Unknown,Chemicals,Unknown,NA,Yes,No,PA
37-115-20387,I_1922392_V_597822,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.688764,-75.970711,Pit or Tank,Leak,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20399,I_1926568_V_599032,2010,2010,0,Horizontal,Cabot Oil & Gas Corp,41.782947,-75.965419,Flowline,Leak,Unknown,Equipment Failure,Drilling Waste,Drilling Mud,5670,Yes,Yes,PA
37-115-20404,I_2032291_V_628589,2012,2010,1,Horizontal,Cabot Oil & Gas Corp,41.697633,-75.855006,Flowline,Leak,Fittings,Equipment Failure,Saltwater,Produced Water,105,Unknown,Unknown,PA
37-115-20428,I_1924128_V_598381,2010,2010,0,Horizontal,Chief Oil & Gas LLC,41.671611,-75.855528,Drill Rig,NA,Well Kicked,Environmental Conditions,Drilling Waste,Unknown,5,Unknown,Unknown,PA
37-115-20444,I_1939427_V_602099,2010,2010,0,Horizontal,Chesapeake Appalachia LLC,41.739033,-76.029389,Tank,Leak,Unknown,Unknown,Chemicals,Mineral Spirits,NA,Unknown,Unknown,PA
37-115-20444,I_1939423_V_602096,2010,2010,0,Horizontal,Chesapeake Appalachia LLC,41.739033,-76.029389,Tank,Leak,Unknown,Unknown,Chemicals,Mineral Spirits,NA,Unknown,No,PA
37-115-20447,I_2044925_V_632572,2012,2011,1,Vertical,Cabot Oil & Gas Corp,41.8644,-75.94495,Tank,Leak,Unknown,Unknown,Saltwater,Produced Water,840,Unknown,Unknown,PA
37-115-20453,I_1954165_V_605796,2011,2011,0,Horizontal,Chesapeake Appalachia LLC,41.773006,-76.029964,Unknown,NA,Unknown,Unknown,Diesel,Unknown,5,Yes,No,PA
37-115-20460,I_1957381_V_606657,2011,2010,0,Horizontal,WPX Energy Appalachia LLC,41.924378,-75.872958,Pit or Tank,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20461,I_1954842_V_605919,2011,2010,0,Horizontal,Southwestern Energy Production Co,41.924375,-75.8729,Pit,Overflow,Blowout Preventer,Human Error,Drilling Waste,Drilling Mud,420,Unknown,Unknown,PA
37-115-20466,I_2077201_V_642177,2012,2010,2,Horizontal,Carrizo (Marcellus) LLC,41.884172,-75.992253,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20467,I_2077198_V_642174,2012,2010,2,Horizontal,Carrizo (Marcellus) LLC,41.884158,-75.992306,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-115-20467,I_1950418_V_604974,2011,2010,0,Horizontal,Carrizo (Marcellus) LLC,41.884158,-75.992306,Improperly Stored,NA,On Ground,Human Error,Drilling Waste,Drill Cuttings,NA,Yes,Unknown,PA
37-115-20468,I_2038896_V_630942,2012,2010,1,Horizontal,Carrizo (Marcellus) LLC,41.884144,-75.992358,Well Casing,Leak,Unknown,Equipment Failure,Unknown,Unknown,NA,Unknown,Unknown,PA
37-115-20468,I_2082735_V_643768,2011,2010,0,Horizontal,Carrizo (Marcellus) LLC,41.884144,-75.992358,Unknown,NA,Unknown,Unknown,Drilling Waste,Drilling Fluid,NA,Yes,No,PA
37-115-20468,I_2077197_V_642172,2012,2010,2,Horizontal,Carrizo (Marcellus) LLC,41.884144,-75.992358,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
