api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
05-045-12897,2057622,2007,2007,0,Directional,Caerus Piceance LLC,39.382028,-108.063904,Transport,Leak,Loading/Unloading,Human Error,Drilling Waste,Drilling Mud,840,No,No,CO
05-045-12203,2145106,2013,2007,6,Directional,Ursa Operating LLC,39.527664,-107.661298,Wellhead,Leak,Fitting,Equipment Failure,Hydraulic Fracture Solution,Unknown,336,No,Yes,CO
05-045-14290,2145113,2013,2007,6,Directional,Ursa Operating LLC,39.525741,-107.64274,Tank,NA,Valve,Human Error,Saltwater,Unknown,630,No,Yes,CO
05-045-14290,2145218,2013,2007,6,Directional,Ursa Operating LLC,39.525741,-107.64274,Tank,Overflow,Unknown,Human Error,Crude Oil,Unknown,210,No,Yes,CO
05-045-21837,2145411,2013,2013,0,Directional,Encana Oil & Gas Inc,39.426138,-107.705113,Tank,NA,Valve,Human Error,Saltwater,Unknown,756,No,Yes,CO
05-045-14323,2145502,2013,2007,6,Directional,Vanguard Operating LLC,39.49974,-107.62964,Well Casing,NA,Valve,Human Error,Oil & Saltwater,Unknown,1386,No,No,CO
05-123-34369,2145585,2013,2012,1,Horizontal,Encana Oil & Gas Inc,40.104036,-104.585914,Unknown,NA,Unknown,Equipment Failure,Crude Oil,Unknown,336,No,Yes,CO
05-045-13969,2145593,2013,2008,5,Directional,Caerus Piceance LLC,39.53831,-108.15069,Tank,Leak,Unknown,Equipment Failure,Saltwater,Unknown,1470,No,Yes,CO
05-045-13221,2145672,2013,2008,6,Directional,Ursa Operating LLC,39.528936,-107.646261,Tank,Overflow,Unknown,Equipment Failure,Saltwater,Unknown,420,No,Yes,CO
05-045-14290,2145735,2013,2007,6,Directional,Ursa Operating LLC,39.525741,-107.64274,Tank,Overflow,Unknown,Human Error,Saltwater,Unknown,2772,No,Yes,CO
05-103-10938,2145816,2013,2007,6,Vertical,WPX Energy Rocky Mountain LLC,39.908659,-108.371094,Transport,Leak,Loading/Unloading,Equipment Failure,Condensate,Unknown,252,No,Yes,CO
05-045-13386,2145897,2013,2005,8,Directional,Encana Oil & Gas Inc,39.584277,-108.037352,Unknown,NA,Unknown,Unknown,Saltwater,Unknown,840,No,Yes,CO
05-045-15166,2145907,2013,2008,5,Directional,Ursa Operating LLC,39.522935,-107.728752,Tank,Overflow,Unknown,Human Error,Saltwater,Unknown,210,No,No,CO
05-123-36383,2146023,2013,2013,0,Horizontal,Kerr-McGee Oil & Gas Onshore LP,40.088276,-104.673999,Unknown,NA,Valve,Human Error,Drilling Waste,Drilling Mud,420,No,Yes,CO
05-045-17902,2146036,2013,2010,4,Directional,WPX Energy Rocky Mountain LLC,39.512712,-107.839989,Tank,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,252,No,Yes,CO
05-045-19391,2146332,2013,2013,-1,Directional,Ursa Operating LLC,39.530984,-107.608114,Manifold,Leak,Unknown,Equipment Failure,Drilling Waste,Drill Cuttings,252,No,Yes,CO
05-103-11876,2146338,2012,2012,0,Directional,WPX Energy Rocky Mountain LLC,39.928055,-108.346257,Transport,Leak,Loading/Unloading,Human Error,Saltwater,Unknown,420,No,Yes,CO
05-103-11650,2146341,2012,2010,2,Directional,WPX Energy Rocky Mountain LLC,39.819185,-108.306665,Tank,NA,Valve,Human Error,Saltwater,Flowback,294,No,Yes,CO
05-045-20534,2146569,2013,2014,-1,Directional,Ursa Operating LLC,39.431292,-108.03317,Pump,NA,Unknown,Equipment Failure,Drilling Waste,Drilling Mud,84,No,No,CO
05-045-13637,2146742,2013,2008,5,Directional,Linn Operating Inc,39.567768,-108.189342,Flowline,Leak,Corrosion,Equipment Failure,Oil & Saltwater,Unknown,1260,No,No,CO
05-045-11495,2146883,2013,2006,8,Directional,Encana Oil & Gas Inc,39.40779,-107.72446,Transport,Leak,Loading/Unloading,Human Error,Oil & Saltwater,Unknown,462,No,Yes,CO
05-045-10461,2146906,2013,2005,9,Directional,Encana Oil & Gas Inc,39.37219,-108.09397,Tank,Overflow,Unknown,Human Error,Saltwater,Unknown,1050,No,Yes,CO
05-045-15279,2147165,2013,2008,5,Directional,Linn Operating Inc,39.573441,-108.181254,Tank,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,5040,No,Yes,CO
05-123-37789,2147324,2013,2013,0,Horizontal,Encana Oil & Gas Inc,40.01408,-104.71217,Wellhead,NA,Gasket,Equipment Failure,Drilling Waste,Drilling Mud,630,No,No,CO
05-045-22108,2147389,2014,2013,0,Directional,Ursa Operating LLC,39.420907,-108.060322,Flowline,Leak,Disconnected,Human Error,Drilling Waste,Drilling Mud,1050,No,Yes,CO
