file_no,api,operator,depth_ft,spudyr,latitude,longitude,status,direction,state
28123,33-007-01835,Emerald Oil Inc,20675,2014,47.03734647,-103.2380418,Active,Horizontal,ND
28695,33-025-02591,Marathon Oil Company,21430,2014,47.29823659,-102.8795589,Active,Horizontal,ND
29770,33-105-03820,Murex Petroleum Corp,19600,2014,48.51663925,-103.0349409,Not Completed,Horizontal,ND
29435,33-061-03306,Slawson Exploration Company Inc,20717,2014,47.97894128,-102.3814317,Active,Horizontal,ND
28003,33-061-03040,Slawson Exploration Company Inc,20650,2014,47.89041445,-102.4659729,Active,Horizontal,ND
27240,33-061-02880,Slawson Exploration Company Inc,20915,2014,47.87724533,-102.4336251,Active,Horizontal,ND
29066,33-053-06162,Hess Bakken Investments II LLC,21303,2014,47.67535536,-103.3159632,Active,Horizontal,ND
28410,33-105-03527,Hess Bakken Investments II LLC,21279,2014,48.16776892,-103.3275587,Active,Horizontal,ND
26237,33-105-03175,Continental Resources Inc,18633,2014,48.2198008,-103.155493,Active,Horizontal,ND
27550,33-053-05645,Continental Resources Inc,22053,2014,47.96150293,-103.2856042,Inactive,Horizontal,ND
30168,33-053-06538,Continental Resources Inc,21542,2014,47.96305576,-103.3235133,Not Completed,Horizontal,ND
26937,33-105-03303,Hess Bakken Investments II LLC,21320,2014,48.16965531,-103.3365309,Active,Horizontal,ND
28244,33-061-03088,Hess Bakken Investments II LLC,19525,2014,48.17130656,-102.8237387,Active,Horizontal,ND
28913,33-061-03215,Hess Bakken Investments II LLC,20667,2014,48.14074982,-102.7062918,Active,Horizontal,ND
28914,33-061-03216,Hess Bakken Investments II LLC,20711,2014,48.14075039,-102.7064272,Active,Horizontal,ND
27978,33-053-05774,Emerald Oil Inc,20320,2014,47.64819739,-103.709308,Active,Horizontal,ND
27394,33-089-00819,Fidelity Exploration and Production Company,20005,2014,46.83385787,-102.9384319,Active,Horizontal,ND
27952,33-053-05761,Continental Resources Inc,23183,2014,48.04590594,-103.7208143,Active,Horizontal,ND
27913,33-007-01826,Continental Resources Inc,20448,2014,47.00879654,-103.045648,Active,Horizontal,ND
29840,33-105-03842,Continental Resources Inc,20873,2014,48.11589192,-103.5158092,Active,Horizontal,ND
26801,33-105-03274,Hess Bakken Investments II LLC,19985,2014,48.07261956,-103.2774349,Active,Horizontal,ND
26936,33-105-03302,Hess Bakken Investments II LLC,21543,2014,48.16965619,-103.336736,Active,Horizontal,ND
28372,33-053-05931,Hess Bakken Investments II LLC,20710,2014,48.0225712,-102.813081,Active,Horizontal,ND
29468,33-075-01474,Enduro Operating LLC,7542,2014,48.66853025,-101.5692057,Active,Horizontal,ND
28992,33-105-03640,Hess Bakken Investments II LLC,20368,2014,48.45870268,-103.1474919,Active,Horizontal,ND
27278,33-025-02396,HRC Operating LLC,21295,2014,47.61825522,-102.709716,Active,Horizontal,ND
27936,33-105-03471,Whiting Oil and Gas Corp,21593,2014,48.14166951,-103.2483493,Active,Horizontal,ND
28000,33-061-03037,Continental Resources Inc,20451,2014,48.10958892,-102.6817902,Not Completed,Horizontal,ND
27950,33-105-03477,Continental Resources Inc,22045,2014,48.2241618,-103.186129,Active,Horizontal,ND
28737,33-053-06047,Continental Resources Inc,21823,2014,47.99384104,-103.3972363,Active,Horizontal,ND
27262,33-053-05551,Emerald Oil Inc,20753,2014,47.7332665,-103.743287,Active,Horizontal,ND
27955,33-053-05764,Continental Resources Inc,17977,2014,48.04611975,-103.7203125,Active,Horizontal,ND
27424,33-089-00823,Whiting Oil and Gas Corp,21192,2014,46.91829853,-103.2274049,Active,Horizontal,ND
27885,33-053-05745,Hess Bakken Investments II LLC,21524,2014,47.73087482,-103.3130485,Active,Horizontal,ND
28719,33-061-03171,Hess Bakken Investments II LLC,20481,2014,48.34399467,-102.8138167,Active,Horizontal,ND
28722,33-061-03174,Hess Bakken Investments II LLC,20705,2014,48.34399292,-102.8134092,Active,Horizontal,ND
28373,33-053-05932,Hess Bakken Investments II LLC,18340,2014,48.02257086,-102.8129461,Active,Horizontal,ND
29934,33-053-06447,Continental Resources Inc,23215,2014,48.04665188,-102.7075328,Not Completed,Horizontal,ND
27906,33-061-03027,Continental Resources Inc,21670,2014,48.13896053,-102.744241,Active,Horizontal,ND
28423,33-053-05952,Whiting Oil and Gas Corp,20543,2014,47.81817688,-103.5876945,Active,Horizontal,ND
29043,33-105-03655,Whiting Oil and Gas Corp,20729,2014,48.11203336,-103.2941402,Active,Horizontal,ND
29490,33-061-03318,Whiting Oil and Gas Corp,19400,2014,48.09457538,-102.4454505,Active,Horizontal,ND
29935,33-053-06448,Continental Resources Inc,23150,2014,48.04665325,-102.7077169,Not Completed,Horizontal,ND
27849,33-025-02491,Sinclair Oil and Gas Company,21700,2014,47.50335509,-103.090302,Active,Horizontal,ND
29409,33-053-06267,Hess Bakken Investments II LLC,20414,2014,47.99096247,-102.8565186,Active,Horizontal,ND
27940,33-105-03472,Hess Bakken Investments II LLC,20280,2014,48.57440776,-103.2774828,Active,Horizontal,ND
27872,33-023-01175,Continental Resources Inc,19837,2014,48.64890791,-102.96779,Active,Horizontal,ND
26219,33-053-05210,Emerald Oil Inc,20750,2014,47.70284902,-103.6876703,Active,Horizontal,ND
28721,33-061-03173,Hess Bakken Investments II LLC,20677,2014,48.3439935,-102.813545,Active,Horizontal,ND
27539,33-061-02934,Sinclair Oil and Gas Company,14080,2014,48.47319956,-102.3709593,Active,Horizontal,ND
23750,33-053-04379,Continental Resources Inc,20890,2014,47.87791149,-103.2895894,Active,Horizontal,ND
28696,33-053-06037,Emerald Oil Inc,20698,2014,47.67565504,-103.7585761,Active,Horizontal,ND
28936,33-105-03626,Continental Resources Inc,22245,2014,48.03318356,-103.4702791,Active,Horizontal,ND
29004,33-025-02624,Marathon Oil Company,22480,2014,47.65014217,-102.8492508,Active,Horizontal,ND
