api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
30-039-29483,nBP0627834925,2006,2006,0,Horizontal,CONOCOPHILLIPS Company,36.8556709,-107.4525986,Tank,NA,Valve,Human Error,Saltwater,Unknown,1680,No,Unknown,NM
30-039-29576,nBP1027140000,2010,2005,5,Horizontal,WPX Energy Production LLC,36.908783,-107.4117584,Tank,NA,Valve,Human Error,Saltwater,Unknown,252,No,Unknown,NM
30-039-29576,nBP1027140247,2010,2005,5,Horizontal,WPX Energy Production LLC,36.908783,-107.4117584,Tank,Leak,Unknown,Unknown,Saltwater,Unknown,840,No,Unknown,NM
30-039-29795,nBP0633240003,2006,2006,0,Horizontal,Devon Energy Production Company,36.806366,-107.5933685,Unknown,NA,Unknown,Equipment Failure,Saltwater,Unknown,NA,No,Unknown,NM
30-039-29801,nBP0726036950,2007,2007,0,Horizontal,WPX Energy Production LLC,36.8994598,-107.2418518,Pit,Leak,Liner,Equipment Failure,Saltwater,Unknown,1050,No,Unknown,NM
30-039-29851,nBP0626256550,2006,2006,0,Horizontal,WPX Energy Production LLC,36.8818665,-107.4725952,Pit,Overflow,Unknown,Unknown,Saltwater,Unknown,126,Yes,No,NM
30-039-29851,nBP0632554251,2006,2006,0,Horizontal,WPX Energy Production LLC,36.8818665,-107.4725952,Unknown,NA,Unknown,Equipment Failure,Saltwater,Unknown,126,No,Unknown,NM
30-039-29908,nBP0623429218,2006,2006,0,Horizontal,WPX Energy Production LLC,36.8721428,-107.2656555,Pit,Leak,Heavy Rain ,Environmental Conditions,Drilling Waste,Unknown,1050,No,Unknown,NM
30-039-29920,nBP0726048769,2007,2007,0,Horizontal,WPX Energy Production LLC,36.9276123,-107.4474335,Tank,Leak,Weld,Equipment Failure,Saltwater,Unknown,840,No,Unknown,NM
30-039-30193,nRMD0924649475,2009,2007,2,Horizontal,CONOCOPHILLIPS Company,36.6611099,-107.6110458,Tank,Overflow,Unknown,Equipment Failure,Condensate,Unknown,1050,No,Unknown,NM
30-039-30200,nRMD0929649696,2008,2007,1,Horizontal,CONOCOPHILLIPS Company,36.6511345,-107.5749664,Tank,Overflow,Unknown,Equipment Failure,Condensate,Unknown,1050,No,Unknown,NM
30-039-30257,nRMD1010238344,2010,2007,3,Horizontal,CONOCOPHILLIPS Company,36.605587,-107.5192947,Tank,Overflow,Unknown,Equipment Failure,Condensate & Saltwater,Unknown,714,No,Unknown,NM
30-039-30266,nRMD0928126447,2009,2008,1,Horizontal,Burlingtong Resources Oil & Gas Company LP,36.5780067,-107.2494965,Separator,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,NA,No,Unknown,NM
30-039-30375,nJK1205957063,2008,2007,0,Horizontal,CONOCOPHILLIPS Company,36.6146545,-107.5838165,Tank,NA,Valve,Equipment Failure,Hydraulic Fracture Solution,Unknown,7560,No,Unknown,NM
30-039-30377,nRMD0928242067,2008,2008,0,Horizontal,Burlingtong Resources Oil & Gas Company LP,36.62583,-107.26783,Pit,Leak,Liner,Equipment Failure,Drilling Waste,Unknown,21000,No,Unknown,NM
30-039-30586,nCTP0920347945,2009,2009,0,Horizontal,Burlingtong Resources Oil & Gas Company LP,36.5926552,-107.4287415,Pit,Overflow,Unknown,Human Error,Drilling Waste,Unknown,420,No,Unknown,NM
30-039-30713,nRMD1000748372,2009,2009,0,Horizontal,Burlingtong Resources Oil & Gas Company LP,36.7560997,-107.5537186,Pit,Leak,Liner,Equipment Failure,Freshwater,Unknown,8400,No,Unknown,NM
30-039-31105,nJK1229734139,2012,2012,0,Horizontal,Burlingtong Resources Oil & Gas Company LP,36.5562897,-107.2602615,Flowline,Leak,Unknown,Equipment Failure,Drilling Waste,Unknown,210,No,Unknown,NM
30-039-31105,nJK1229735356,2012,2012,0,Horizontal,Burlingtong Resources Oil & Gas Company LP,36.5562897,-107.2602615,Flowline,Leak,Unknown,Equipment Failure,Drilling Waste,Unknown,210,No,Unknown,NM
30-039-31173,nCS1501349249,2013,2013,0,Horizontal,WPX Energy Production LLC,36.2428131,-107.5352173,Flowline,Leak,Unknown,Equipment Failure,Drilling Waste,Unknown,4200,No,Unknown,NM
30-039-31173,nJK1325436597,2013,2013,0,Horizontal,WPX Energy Production LLC,36.2428131,-107.5352173,Flare,NA,Unknown,Unknown,Crude Oil,Unknown,10,No,Unknown,NM
30-039-31207,nCS1500854295,2014,2014,0,Horizontal,WPX Energy Production LLC,36.2293549,-107.534317,Tank,NA,Valve,Human Error,Saltwater,Flowback,2520,No,Unknown,NM
30-039-31224,nCS1508235627,2014,2014,1,Horizontal,WPX Energy Production LLC,36.2297935,-107.5187912,Tank,NA,Valve,Human Error,Saltwater,Unknown,3360,No,Unknown,NM
30-043-21127,nBP1329148089,2013,2013,0,Horizontal,ENCANA Oil and Gas Inc,36.1878,-107.48297,Separator,NA,Valve,Equipment Failure,Saltwater,Unknown,1050,No,Unknown,NM
30-043-21136,nCS1432547761,2014,2014,0,Horizontal,WPX Energy Production LLC,36.2132988,-107.5173569,Tank,Overflow,Unknown,Human Error,Crude Oil,Unknown,630,No,Unknown,NM
